date,adj_close,close,high,low,open,volume,symbol
2015-06-17,73.89053344726562,74.41999816894531,75.80999755859375,73.30999755859375,73.5,7291600,CRM
2015-06-18,75.1713638305664,75.70999908447266,76.20999908447266,74.5999984741211,74.62999725341797,4230300,CRM
2015-06-19,74.4664077758789,75.0,75.94999694824219,74.95999908447266,75.5,5372600,CRM
2015-06-22,74.24797058105469,74.77999877929688,75.70999908447266,74.3499984741211,75.5,3112700,CRM
2015-06-23,73.67211151123047,74.19999694824219,74.9800033569336,73.86000061035156,74.86000061035156,3142400,CRM
2015-06-24,72.97709655761719,73.5,74.55000305175781,72.98999786376953,74.0999984741211,2763300,CRM
2015-06-25,73.08629608154297,73.61000061035156,74.6500015258789,73.37000274658203,74.31999969482422,1958200,CRM
2015-06-26,71.8253402709961,72.33999633789062,73.91000366210938,72.08999633789062,73.75,4089800,CRM
2015-06-29,69.50199127197266,70.0,71.87000274658203,69.93000030517578,71.66999816894531,2698200,CRM
2015-06-30,69.1346206665039,69.62999725341797,70.77999877929688,69.11000061035156,70.68000030517578,3559900,CRM
2015-07-01,70.03814697265625,70.54000091552734,71.04000091552734,70.1500015258789,70.58000183105469,3060700,CRM
2015-07-02,69.91899871826172,70.41999816894531,71.05000305175781,69.9800033569336,70.91999816894531,1562300,CRM
2015-07-06,68.66796875,69.16000366210938,69.83000183105469,68.55000305175781,69.7699966430664,3586700,CRM
2015-07-07,69.76013946533203,70.26000213623047,70.51000213623047,68.33000183105469,70.18000030517578,4937200,CRM
2015-07-08,68.89633178710938,69.38999938964844,70.48999786376953,69.06999969482422,70.02999877929688,2988500,CRM
2015-07-09,69.46226501464844,69.95999908447266,71.5999984741211,69.94000244140625,70.5,3297500,CRM
2015-07-10,70.63388061523438,71.13999938964844,71.41999816894531,70.47000122070312,70.97000122070312,2252200,CRM
2015-07-13,70.54451751708984,71.05000305175781,71.86000061035156,71.0,71.58999633789062,2446400,CRM
2015-07-14,71.27925109863281,71.79000091552734,72.01000213623047,71.20999908447266,71.20999908447266,2024100,CRM
2015-07-15,70.85231018066406,71.36000061035156,72.16000366210938,71.06999969482422,71.75,1722300,CRM
2015-07-16,71.90476989746094,72.41999816894531,72.43000030517578,71.62999725341797,71.91000366210938,2774900,CRM
2015-07-17,72.29198455810547,72.80999755859375,73.5,72.06999969482422,72.54000091552734,3005700,CRM
2015-07-20,72.25228118896484,72.7699966430664,73.19000244140625,72.41000366210938,72.88999938964844,2175900,CRM
2015-07-21,73.30474853515625,73.83000183105469,73.91999816894531,72.5,72.62000274658203,3620500,CRM
