datetime,open,high,low,close,adj_close,volume,dividends,stock_splits,symbol
2025-06-05 09:30:00-04:00,153.68,153.68,153.44,153.45,153.45,104129,0.0,0.0,JNJ
2025-06-05 09:31:00-04:00,153.47,153.47,153.34,153.47,153.47,7628,0.0,0.0,JNJ
2025-06-05 09:34:00-04:00,152.96,153.02,152.945,152.98,152.98,78090,0.0,0.0,JNJ
2025-06-05 09:35:00-04:00,152.98,152.98,152.7,152.735,152.735,17857,0.0,0.0,JNJ
2025-06-05 09:36:00-04:00,152.78,152.93,152.78,152.83,152.83,20055,0.0,0.0,JNJ
2025-06-05 09:37:00-04:00,152.83,152.93,152.77,152.77,152.77,4256,0.0,0.0,JNJ
2025-06-05 09:38:00-04:00,152.7992,152.9399,152.7992,152.92,152.92,5523,0.0,0.0,JNJ
2025-06-05 09:39:00-04:00,152.95,152.98,152.72,152.8601,152.8601,11889,0.0,0.0,JNJ
2025-06-05 09:40:00-04:00,152.85,152.91,152.84,152.85,152.85,4865,0.0,0.0,JNJ
2025-06-05 09:41:00-04:00,152.84,152.905,152.8,152.905,152.905,9403,0.0,0.0,JNJ
2025-06-05 09:42:00-04:00,152.915,152.95,152.8,152.86,152.86,9060,0.0,0.0,JNJ
2025-06-05 09:43:00-04:00,152.82,152.83,152.7,152.72,152.72,14246,0.0,0.0,JNJ
2025-06-05 09:44:00-04:00,152.7152,152.84,152.7152,152.73,152.73,9299,0.0,0.0,JNJ
2025-06-05 09:45:00-04:00,152.8,152.88,152.74,152.76,152.76,14167,0.0,0.0,JNJ
2025-06-05 09:46:00-04:00,152.7,152.87,152.64,152.85,152.85,19219,0.0,0.0,JNJ
2025-06-05 09:47:00-04:00,152.8377,153.04,152.8377,153.02,153.02,8231,0.0,0.0,JNJ
2025-06-05 09:48:00-04:00,153.01,153.13,153.01,153.08,153.08,12683,0.0,0.0,JNJ
2025-06-05 09:49:00-04:00,153.085,153.1,153.03,153.06,153.06,11286,0.0,0.0,JNJ
2025-06-05 09:50:00-04:00,153.07,153.1,153.03,153.03,153.03,5094,0.0,0.0,JNJ
2025-06-05 09:51:00-04:00,153.0,153.09,152.93,153.09,153.09,4875,0.0,0.0,JNJ
2025-06-05 09:52:00-04:00,153.07,153.11,153.035,153.07,153.07,4587,0.0,0.0,JNJ
2025-06-05 09:53:00-04:00,153.07,153.08,152.98,153.01,153.01,8025,0.0,0.0,JNJ
2025-06-05 09:54:00-04:00,153.01,153.02,152.97,153.02,153.02,10090,0.0,0.0,JNJ
2025-06-05 09:55:00-04:00,153.01,153.05,152.985,153.0204,153.0204,9129,0.0,0.0,JNJ
2025-06-05 09:56:00-04:00,153.035,153.05,152.9,152.9,152.9,5856,0.0,0.0,JNJ
2025-06-05 09:57:00-04:00,152.91,153.01,152.91,152.985,152.985,8779,0.0,0.0,JNJ
2025-06-05 09:58:00-04:00,152.995,153.055,152.995,153.055,153.055,5424,0.0,0.0,JNJ
2025-06-05 09:59:00-04:00,153.065,153.08,152.99,153.07,153.07,7341,0.0,0.0,JNJ
2025-06-05 10:00:00-04:00,153.04,153.08,153.0005,153.0005,153.0005,8476,0.0,0.0,JNJ
2025-06-05 10:01:00-04:00,153.03,153.065,152.99,153.06,153.06,9107,0.0,0.0,JNJ
2025-06-05 10:02:00-04:00,153.06,153.16,153.06,153.07,153.07,5814,0.0,0.0,JNJ
2025-06-05 10:03:00-04:00,153.075,153.075,153.025,153.025,153.025,3894,0.0,0.0,JNJ
2025-06-05 10:04:00-04:00,153.025,153.17,152.99,153.17,153.17,13682,0.0,0.0,JNJ
2025-06-05 10:05:00-04:00,153.18,153.24,153.18,153.225,153.225,5744,0.0,0.0,JNJ
2025-06-05 10:06:00-04:00,153.225,153.25,153.19,153.23,153.23,6665,0.0,0.0,JNJ
2025-06-05 10:07:00-04:00,153.225,153.34,153.22,153.33,153.33,12767,0.0,0.0,JNJ
2025-06-05 10:08:00-04:00,153.315,153.33,153.259,153.259,153.259,4527,0.0,0.0,JNJ
2025-06-05 10:09:00-04:00,153.271,153.271,153.19,153.22,153.22,7658,0.0,0.0,JNJ
2025-06-05 10:10:00-04:00,153.185,153.205,153.05,153.065,153.065,7181,0.0,0.0,JNJ
2025-06-05 10:11:00-04:00,153.07,153.15,153.07,153.14,153.14,6685,0.0,0.0,JNJ
2025-06-05 10:12:00-04:00,153.1416,153.1605,153.1,153.1,153.1,6276,0.0,0.0,JNJ
2025-06-05 10:13:00-04:00,153.08,153.21,153.05,153.21,153.21,12188,0.0,0.0,JNJ
2025-06-05 10:14:00-04:00,153.24,153.3699,153.24,153.355,153.355,15780,0.0,0.0,JNJ
2025-06-05 10:15:00-04:00,153.33,153.34,153.25,153.295,153.295,15719,0.0,0.0,JNJ
2025-06-05 10:16:00-04:00,153.27,153.36,153.27,153.36,153.36,20731,0.0,0.0,JNJ
2025-06-05 10:17:00-04:00,153.37,153.43,153.37,153.405,153.405,8438,0.0,0.0,JNJ
2025-06-05 10:18:00-04:00,153.3996,153.5,153.39,153.5,153.5,11838,0.0,0.0,JNJ
2025-06-05 10:19:00-04:00,153.44,153.57,153.43,153.43,153.43,13436,0.0,0.0,JNJ
2025-06-05 10:20:00-04:00,153.45,153.52,153.435,153.5,153.5,10321,0.0,0.0,JNJ
2025-06-05 10:21:00-04:00,153.5,153.5,153.3601,153.3601,153.3601,7421,0.0,0.0,JNJ
2025-06-05 10:22:00-04:00,153.38,153.41,153.36,153.3775,153.3775,17583,0.0,0.0,JNJ
2025-06-05 10:23:00-04:00,153.381,153.535,153.381,153.5,153.5,14110,0.0,0.0,JNJ
2025-06-05 10:24:00-04:00,153.52,153.54,153.445,153.47,153.47,13508,0.0,0.0,JNJ
2025-06-05 10:25:00-04:00,153.45,153.5684,153.45,153.51,153.51,7388,0.0,0.0,JNJ
2025-06-05 10:26:00-04:00,153.515,153.53,153.44,153.44,153.44,4821,0.0,0.0,JNJ
2025-06-05 10:27:00-04:00,153.48,153.51,153.47,153.48,153.48,4051,0.0,0.0,JNJ
2025-06-05 10:28:00-04:00,153.47,153.49,153.44,153.49,153.49,10044,0.0,0.0,JNJ
2025-06-05 10:29:00-04:00,153.48,153.5,153.46,153.47,153.47,7673,0.0,0.0,JNJ
2025-06-05 10:30:00-04:00,153.5,153.59,153.5,153.5868,153.5868,6878,0.0,0.0,JNJ
2025-06-05 10:31:00-04:00,153.565,153.66,153.565,153.66,153.66,11143,0.0,0.0,JNJ
2025-06-05 10:32:00-04:00,153.63,153.68,153.615,153.615,153.615,9176,0.0,0.0,JNJ
2025-06-05 10:33:00-04:00,153.635,153.71,153.635,153.68,153.68,9475,0.0,0.0,JNJ
2025-06-05 10:34:00-04:00,153.66,153.66,153.58,153.58,153.58,7859,0.0,0.0,JNJ
2025-06-05 10:35:00-04:00,153.61,153.62,153.42,153.505,153.505,15629,0.0,0.0,JNJ
2025-06-05 10:36:00-04:00,153.48,153.57,153.46,153.555,153.555,11603,0.0,0.0,JNJ
2025-06-05 10:37:00-04:00,153.54,153.65,153.4875,153.6,153.6,13612,0.0,0.0,JNJ
2025-06-05 10:38:00-04:00,153.605,153.605,153.51,153.535,153.535,14084,0.0,0.0,JNJ
2025-06-05 10:39:00-04:00,153.55,153.61,153.52,153.55,153.55,13032,0.0,0.0,JNJ
2025-06-05 10:40:00-04:00,153.56,153.56,153.42,153.44,153.44,12794,0.0,0.0,JNJ
2025-06-05 10:41:00-04:00,153.45,153.67,153.41,153.61,153.61,19126,0.0,0.0,JNJ
2025-06-05 10:42:00-04:00,153.61,153.66,153.5,153.535,153.535,38444,0.0,0.0,JNJ
2025-06-05 10:43:00-04:00,153.535,153.535,153.36,153.4,153.4,14466,0.0,0.0,JNJ
2025-06-05 10:44:00-04:00,153.385,153.41,153.28,153.33,153.33,10852,0.0,0.0,JNJ
2025-06-05 10:45:00-04:00,153.31,153.31,153.2,153.24,153.24,8569,0.0,0.0,JNJ
2025-06-05 10:46:00-04:00,153.245,153.36,153.245,153.26,153.26,7278,0.0,0.0,JNJ
2025-06-05 10:47:00-04:00,153.2723,153.2723,153.21,153.26,153.26,8307,0.0,0.0,JNJ
2025-06-05 10:48:00-04:00,153.27,153.34,153.21,153.315,153.315,12188,0.0,0.0,JNJ
2025-06-05 10:49:00-04:00,153.315,153.335,153.305,153.315,153.315,7130,0.0,0.0,JNJ
2025-06-05 10:50:00-04:00,153.34,153.385,153.26,153.31,153.31,7823,0.0,0.0,JNJ
2025-06-05 10:51:00-04:00,153.31,153.38,153.285,153.38,153.38,4464,0.0,0.0,JNJ
2025-06-05 10:52:00-04:00,153.37,153.39,153.345,153.3545,153.3545,3731,0.0,0.0,JNJ
2025-06-05 10:53:00-04:00,153.345,153.37,153.215,153.23,153.23,8659,0.0,0.0,JNJ
2025-06-05 10:54:00-04:00,153.23,153.33,153.19,153.251,153.251,25968,0.0,0.0,JNJ
2025-06-05 10:55:00-04:00,153.28,153.3,153.23,153.23,153.23,5140,0.0,0.0,JNJ
2025-06-05 10:56:00-04:00,153.24,153.25,153.18,153.25,153.25,8679,0.0,0.0,JNJ
2025-06-05 10:57:00-04:00,153.27,153.36,153.26,153.345,153.345,12648,0.0,0.0,JNJ
2025-06-05 10:58:00-04:00,153.345,153.37,153.34,153.35,153.35,3483,0.0,0.0,JNJ
2025-06-05 10:59:00-04:00,153.345,153.37,153.32,153.335,153.335,5160,0.0,0.0,JNJ
2025-06-05 11:00:00-04:00,153.35,153.41,153.35,153.3701,153.3701,4303,0.0,0.0,JNJ
2025-06-05 11:01:00-04:00,153.39,153.41,153.325,153.36,153.36,11976,0.0,0.0,JNJ
2025-06-05 11:02:00-04:00,153.35,153.47,153.35,153.46,153.46,5476,0.0,0.0,JNJ
2025-06-05 11:03:00-04:00,153.44,153.4742,153.44,153.46,153.46,6240,0.0,0.0,JNJ
2025-06-05 11:04:00-04:00,153.46,153.57,153.46,153.545,153.545,5793,0.0,0.0,JNJ
2025-06-05 11:05:00-04:00,153.5425,153.58,153.51,153.56,153.56,8241,0.0,0.0,JNJ
2025-06-05 11:06:00-04:00,153.6,153.6,153.51,153.51,153.51,5149,0.0,0.0,JNJ
2025-06-05 11:07:00-04:00,153.5,153.52,153.36,153.39,153.39,4507,0.0,0.0,JNJ
2025-06-05 11:08:00-04:00,153.38,153.5137,153.38,153.5137,153.5137,6232,0.0,0.0,JNJ
2025-06-05 11:09:00-04:00,153.51,153.552,153.51,153.53,153.53,3429,0.0,0.0,JNJ
2025-06-05 11:10:00-04:00,153.5,153.545,153.5,153.5,153.5,3815,0.0,0.0,JNJ
2025-06-05 11:11:00-04:00,153.5,153.5,153.43,153.49,153.49,12335,0.0,0.0,JNJ
2025-06-05 11:12:00-04:00,153.4894,153.5199,153.4801,153.49,153.49,14200,0.0,0.0,JNJ
2025-06-05 11:13:00-04:00,153.49,153.51,153.45,153.51,153.51,6261,0.0,0.0,JNJ
2025-06-05 11:14:00-04:00,153.495,153.495,153.43,153.43,153.43,6036,0.0,0.0,JNJ
2025-06-05 11:15:00-04:00,153.47,153.48,153.36,153.38,153.38,38118,0.0,0.0,JNJ
2025-06-05 11:16:00-04:00,153.34,153.34,153.28,153.32,153.32,4801,0.0,0.0,JNJ
2025-06-05 11:17:00-04:00,153.32,153.375,153.3,153.34,153.34,7017,0.0,0.0,JNJ
2025-06-05 11:18:00-04:00,153.37,153.48,153.36,153.48,153.48,15124,0.0,0.0,JNJ
2025-06-05 11:19:00-04:00,153.465,153.54,153.465,153.51,153.51,6077,0.0,0.0,JNJ
2025-06-05 11:20:00-04:00,153.5216,153.56,153.5,153.56,153.56,3972,0.0,0.0,JNJ
2025-06-05 11:21:00-04:00,153.57,153.69,153.57,153.63,153.63,37820,0.0,0.0,JNJ
2025-06-05 11:22:00-04:00,153.66,153.66,153.59,153.61,153.61,6574,0.0,0.0,JNJ
2025-06-05 11:23:00-04:00,153.62,153.62,153.55,153.55,153.55,4220,0.0,0.0,JNJ
2025-06-05 11:24:00-04:00,153.59,153.6,153.54,153.6,153.6,5435,0.0,0.0,JNJ
2025-06-05 11:25:00-04:00,153.64,153.695,153.58,153.58,153.58,7032,0.0,0.0,JNJ
2025-06-05 11:26:00-04:00,153.57,153.59,153.54,153.57,153.57,3320,0.0,0.0,JNJ
2025-06-05 11:27:00-04:00,153.6,153.6,153.5103,153.5341,153.5341,8541,0.0,0.0,JNJ
2025-06-05 11:28:00-04:00,153.51,153.56,153.505,153.56,153.56,5272,0.0,0.0,JNJ
2025-06-05 11:29:00-04:00,153.559,153.57,153.51,153.51,153.51,6146,0.0,0.0,JNJ
2025-06-05 11:30:00-04:00,153.525,153.58,153.525,153.5605,153.5605,4732,0.0,0.0,JNJ
2025-06-05 11:31:00-04:00,153.5696,153.58,153.52,153.555,153.555,5067,0.0,0.0,JNJ
2025-06-05 11:32:00-04:00,153.6,153.605,153.51,153.51,153.51,4846,0.0,0.0,JNJ
2025-06-05 11:33:00-04:00,153.51,153.54,153.49,153.54,153.54,9196,0.0,0.0,JNJ
2025-06-05 11:34:00-04:00,153.56,153.59,153.55,153.58,153.58,4745,0.0,0.0,JNJ
2025-06-05 11:35:00-04:00,153.58,153.59,153.575,153.58,153.58,2985,0.0,0.0,JNJ
2025-06-05 11:36:00-04:00,153.61,153.61,153.565,153.565,153.565,2372,0.0,0.0,JNJ
2025-06-05 11:37:00-04:00,153.55,153.59,153.51,153.51,153.51,6438,0.0,0.0,JNJ
2025-06-05 11:38:00-04:00,153.51,153.51,153.4438,153.46,153.46,12084,0.0,0.0,JNJ
2025-06-05 11:39:00-04:00,153.45,153.47,153.43,153.45,153.45,18615,0.0,0.0,JNJ
2025-06-05 11:40:00-04:00,153.45,153.5,153.45,153.485,153.485,6490,0.0,0.0,JNJ
2025-06-05 11:41:00-04:00,153.47,153.47,153.425,153.455,153.455,5458,0.0,0.0,JNJ
2025-06-05 11:42:00-04:00,153.45,153.48,153.45,153.455,153.455,54004,0.0,0.0,JNJ
2025-06-05 11:43:00-04:00,153.45,153.48,153.44,153.45,153.45,4443,0.0,0.0,JNJ
2025-06-05 11:44:00-04:00,153.46,153.5,153.4117,153.43,153.43,7337,0.0,0.0,JNJ
2025-06-05 11:45:00-04:00,153.44,153.44,153.36,153.38,153.38,4972,0.0,0.0,JNJ
2025-06-05 11:46:00-04:00,153.37,153.4099,153.37,153.39,153.39,3603,0.0,0.0,JNJ
2025-06-05 11:47:00-04:00,153.405,153.42,153.37,153.37,153.37,2924,0.0,0.0,JNJ
2025-06-05 11:48:00-04:00,153.37,153.37,153.3,153.3,153.3,3298,0.0,0.0,JNJ
2025-06-05 11:49:00-04:00,153.34,153.36,153.29,153.29,153.29,4504,0.0,0.0,JNJ
2025-06-05 11:50:00-04:00,153.3,153.34,153.3,153.34,153.34,3918,0.0,0.0,JNJ
2025-06-05 11:51:00-04:00,153.34,153.34,153.29,153.295,153.295,4925,0.0,0.0,JNJ
2025-06-05 11:52:00-04:00,153.295,153.365,153.29,153.365,153.365,6136,0.0,0.0,JNJ
2025-06-05 11:53:00-04:00,153.3716,153.4,153.33,153.33,153.33,8096,0.0,0.0,JNJ
2025-06-05 11:54:00-04:00,153.33,153.37,153.32,153.35,153.35,8754,0.0,0.0,JNJ
2025-06-05 11:55:00-04:00,153.34,153.41,153.3344,153.37,153.37,5944,0.0,0.0,JNJ
2025-06-05 11:56:00-04:00,153.37,153.44,153.37,153.405,153.405,8904,0.0,0.0,JNJ
2025-06-05 11:57:00-04:00,153.39,153.45,153.39,153.435,153.435,2740,0.0,0.0,JNJ
2025-06-05 11:58:00-04:00,153.45,153.4576,153.35,153.35,153.35,6618,0.0,0.0,JNJ
2025-06-05 11:59:00-04:00,153.37,153.4,153.33,153.4,153.4,3885,0.0,0.0,JNJ
2025-06-05 12:00:00-04:00,153.38,153.42,153.37,153.39,153.39,5277,0.0,0.0,JNJ
2025-06-05 12:01:00-04:00,153.4,153.51,153.4,153.49,153.49,4060,0.0,0.0,JNJ
2025-06-05 12:02:00-04:00,153.47,153.56,153.46,153.56,153.56,12739,0.0,0.0,JNJ
2025-06-05 12:03:00-04:00,153.59,153.6,153.555,153.59,153.59,5768,0.0,0.0,JNJ
2025-06-05 12:04:00-04:00,153.61,153.61,153.58,153.58,153.58,4500,0.0,0.0,JNJ
2025-06-05 12:05:00-04:00,153.58,153.6,153.58,153.6,153.6,3540,0.0,0.0,JNJ
2025-06-05 12:06:00-04:00,153.6,153.65,153.59,153.6,153.6,10688,0.0,0.0,JNJ
2025-06-05 12:07:00-04:00,153.61,153.62,153.56,153.56,153.56,6551,0.0,0.0,JNJ
2025-06-05 12:08:00-04:00,153.565,153.58,153.5539,153.58,153.58,2692,0.0,0.0,JNJ
2025-06-05 12:09:00-04:00,153.56,153.62,153.535,153.5901,153.5901,10089,0.0,0.0,JNJ
2025-06-05 12:10:00-04:00,153.62,153.65,153.56,153.56,153.56,4878,0.0,0.0,JNJ
2025-06-05 12:11:00-04:00,153.565,153.565,153.54,153.56,153.56,3923,0.0,0.0,JNJ
2025-06-05 12:12:00-04:00,153.55,153.625,153.545,153.605,153.605,6225,0.0,0.0,JNJ
2025-06-05 12:13:00-04:00,153.62,153.63,153.58,153.59,153.59,4451,0.0,0.0,JNJ
2025-06-05 12:14:00-04:00,153.6,153.62,153.59,153.62,153.62,3812,0.0,0.0,JNJ
2025-06-05 12:15:00-04:00,153.64,153.67,153.64,153.66,153.66,4774,0.0,0.0,JNJ
2025-06-05 12:16:00-04:00,153.655,153.69,153.64,153.69,153.69,4970,0.0,0.0,JNJ
2025-06-05 12:17:00-04:00,153.67,153.725,153.655,153.725,153.725,5866,0.0,0.0,JNJ
2025-06-05 12:18:00-04:00,153.725,153.825,153.725,153.825,153.825,5242,0.0,0.0,JNJ
2025-06-05 12:19:00-04:00,153.84,153.85,153.805,153.84,153.84,3107,0.0,0.0,JNJ
2025-06-05 12:20:00-04:00,153.83,153.85,153.76,153.84,153.84,12064,0.0,0.0,JNJ
2025-06-05 12:21:00-04:00,153.84,153.84,153.73,153.76,153.76,17560,0.0,0.0,JNJ
2025-06-05 12:22:00-04:00,153.74,153.76,153.74,153.755,153.755,4397,0.0,0.0,JNJ
2025-06-05 12:23:00-04:00,153.755,153.755,153.69,153.735,153.735,6432,0.0,0.0,JNJ
2025-06-05 12:24:00-04:00,153.75,153.75,153.705,153.705,153.705,5559,0.0,0.0,JNJ
2025-06-05 12:25:00-04:00,153.69,153.72,153.672,153.68,153.68,4035,0.0,0.0,JNJ
2025-06-05 12:26:00-04:00,153.69,153.71,153.69,153.695,153.695,2177,0.0,0.0,JNJ
2025-06-05 12:27:00-04:00,153.69,153.7,153.66,153.7,153.7,4364,0.0,0.0,JNJ
2025-06-05 12:28:00-04:00,153.7,153.72,153.678,153.69,153.69,4107,0.0,0.0,JNJ
2025-06-05 12:29:00-04:00,153.69,153.69,153.615,153.62,153.62,5546,0.0,0.0,JNJ
2025-06-05 12:30:00-04:00,153.625,153.65,153.61,153.61,153.61,5119,0.0,0.0,JNJ
2025-06-05 12:31:00-04:00,153.63,153.63,153.53,153.53,153.53,50858,0.0,0.0,JNJ
2025-06-05 12:32:00-04:00,153.545,153.56,153.54,153.545,153.545,5069,0.0,0.0,JNJ
2025-06-05 12:33:00-04:00,153.53,153.59,153.515,153.59,153.59,20364,0.0,0.0,JNJ
2025-06-05 12:34:00-04:00,153.57,153.58,153.5567,153.57,153.57,12160,0.0,0.0,JNJ
2025-06-05 12:35:00-04:00,153.57,153.585,153.525,153.585,153.585,16088,0.0,0.0,JNJ
2025-06-05 12:36:00-04:00,153.585,153.6,153.55,153.57,153.57,5007,0.0,0.0,JNJ
2025-06-05 12:37:00-04:00,153.58,153.58,153.5,153.5,153.5,9515,0.0,0.0,JNJ
2025-06-05 12:38:00-04:00,153.49,153.49,153.41,153.42,153.42,3703,0.0,0.0,JNJ
2025-06-05 12:39:00-04:00,153.42,153.49,153.42,153.49,153.49,10148,0.0,0.0,JNJ
2025-06-05 12:40:00-04:00,153.475,153.54,153.475,153.505,153.505,5259,0.0,0.0,JNJ
2025-06-05 12:41:00-04:00,153.495,153.565,153.495,153.56,153.56,14153,0.0,0.0,JNJ
2025-06-05 12:42:00-04:00,153.58,153.62,153.56,153.6,153.6,5895,0.0,0.0,JNJ
2025-06-05 12:43:00-04:00,153.6,153.62,153.58,153.58,153.58,3686,0.0,0.0,JNJ
2025-06-05 12:44:00-04:00,153.575,153.635,153.54,153.63,153.63,8119,0.0,0.0,JNJ
2025-06-05 12:45:00-04:00,153.64,153.64,153.421,153.435,153.435,8168,0.0,0.0,JNJ
2025-06-05 12:46:00-04:00,153.41,153.45,153.35,153.43,153.43,11721,0.0,0.0,JNJ
2025-06-05 12:47:00-04:00,153.44,153.46,153.37,153.409,153.409,5486,0.0,0.0,JNJ
2025-06-05 12:48:00-04:00,153.415,153.48,153.39,153.4725,153.4725,9603,0.0,0.0,JNJ
2025-06-05 12:49:00-04:00,153.48,153.51,153.47,153.5,153.5,3209,0.0,0.0,JNJ
2025-06-05 12:50:00-04:00,153.485,153.49,153.415,153.48,153.48,4214,0.0,0.0,JNJ
2025-06-05 12:51:00-04:00,153.47,153.47,153.425,153.44,153.44,3252,0.0,0.0,JNJ
2025-06-05 12:52:00-04:00,153.42,153.51,153.39,153.39,153.39,7583,0.0,0.0,JNJ
2025-06-05 12:53:00-04:00,153.415,153.505,153.41,153.48,153.48,5302,0.0,0.0,JNJ
2025-06-05 12:54:00-04:00,153.4914,153.4914,153.395,153.45,153.45,11907,0.0,0.0,JNJ
2025-06-05 12:55:00-04:00,153.44,153.46,153.405,153.46,153.46,4869,0.0,0.0,JNJ
2025-06-05 12:56:00-04:00,153.47,153.48,153.41,153.443,153.443,3826,0.0,0.0,JNJ
2025-06-05 12:57:00-04:00,153.43,153.47,153.415,153.47,153.47,5173,0.0,0.0,JNJ
2025-06-05 12:58:00-04:00,153.47,153.53,153.47,153.49,153.49,13289,0.0,0.0,JNJ
2025-06-05 12:59:00-04:00,153.476,153.54,153.476,153.54,153.54,19145,0.0,0.0,JNJ
2025-06-05 13:00:00-04:00,153.53,153.5899,153.5,153.5864,153.5864,10183,0.0,0.0,JNJ
2025-06-05 13:01:00-04:00,153.57,153.62,153.57,153.62,153.62,2354,0.0,0.0,JNJ
2025-06-05 13:02:00-04:00,153.62,153.69,153.62,153.6501,153.6501,5291,0.0,0.0,JNJ
2025-06-05 13:03:00-04:00,153.68,153.68,153.65,153.655,153.655,3334,0.0,0.0,JNJ
2025-06-05 13:04:00-04:00,153.65,153.65,153.56,153.56,153.56,6798,0.0,0.0,JNJ
2025-06-05 13:05:00-04:00,153.555,153.57,153.475,153.475,153.475,4107,0.0,0.0,JNJ
2025-06-05 13:06:00-04:00,153.48,153.49,153.4,153.4,153.4,11949,0.0,0.0,JNJ
2025-06-05 13:07:00-04:00,153.385,153.44,153.33,153.4,153.4,9352,0.0,0.0,JNJ
2025-06-05 13:08:00-04:00,153.395,153.42,153.36,153.36,153.36,3420,0.0,0.0,JNJ
2025-06-05 13:09:00-04:00,153.4037,153.425,153.39,153.41,153.41,5037,0.0,0.0,JNJ
2025-06-05 13:10:00-04:00,153.41,153.435,153.39,153.4,153.4,6461,0.0,0.0,JNJ
2025-06-05 13:11:00-04:00,153.4,153.4,153.35,153.35,153.35,4613,0.0,0.0,JNJ
2025-06-05 13:12:00-04:00,153.3531,153.385,153.3,153.3,153.3,6590,0.0,0.0,JNJ
2025-06-05 13:13:00-04:00,153.31,153.34,153.285,153.34,153.34,4897,0.0,0.0,JNJ
2025-06-05 13:14:00-04:00,153.345,153.41,153.33,153.41,153.41,6568,0.0,0.0,JNJ
2025-06-05 13:15:00-04:00,153.41,153.43,153.39,153.39,153.39,5473,0.0,0.0,JNJ
2025-06-05 13:16:00-04:00,153.39,153.42,153.39,153.41,153.41,4149,0.0,0.0,JNJ
2025-06-05 13:17:00-04:00,153.4,153.4,153.34,153.395,153.395,5007,0.0,0.0,JNJ
2025-06-05 13:18:00-04:00,153.4,153.4,153.375,153.375,153.375,2164,0.0,0.0,JNJ
2025-06-05 13:19:00-04:00,153.375,153.39,153.315,153.315,153.315,4715,0.0,0.0,JNJ
2025-06-05 13:20:00-04:00,153.315,153.36,153.315,153.345,153.345,5986,0.0,0.0,JNJ
2025-06-05 13:21:00-04:00,153.355,153.37,153.27,153.28,153.28,5262,0.0,0.0,JNJ
2025-06-05 13:22:00-04:00,153.255,153.29,153.255,153.29,153.29,4244,0.0,0.0,JNJ
2025-06-05 13:23:00-04:00,153.29,153.33,153.275,153.31,153.31,4428,0.0,0.0,JNJ
2025-06-05 13:24:00-04:00,153.305,153.31,153.23,153.23,153.23,2964,0.0,0.0,JNJ
2025-06-05 13:25:00-04:00,153.22,153.2344,153.2005,153.2005,153.2005,4642,0.0,0.0,JNJ
2025-06-05 13:26:00-04:00,153.21,153.255,153.21,153.255,153.255,5447,0.0,0.0,JNJ
2025-06-05 13:27:00-04:00,153.26,153.26,153.23,153.245,153.245,3038,0.0,0.0,JNJ
2025-06-05 13:28:00-04:00,153.25,153.25,153.21,153.21,153.21,3834,0.0,0.0,JNJ
2025-06-05 13:29:00-04:00,153.2,153.29,153.2,153.2793,153.2793,6890,0.0,0.0,JNJ
2025-06-05 13:30:00-04:00,153.28,153.355,153.28,153.3234,153.3234,3916,0.0,0.0,JNJ
2025-06-05 13:31:00-04:00,153.31,153.34,153.29,153.297,153.297,6977,0.0,0.0,JNJ
2025-06-05 13:32:00-04:00,153.32,153.32,153.227,153.23,153.23,5861,0.0,0.0,JNJ
2025-06-05 13:33:00-04:00,153.24,153.24,153.18,153.2,153.2,9460,0.0,0.0,JNJ
2025-06-05 13:34:00-04:00,153.23,153.315,153.23,153.3,153.3,3950,0.0,0.0,JNJ
2025-06-05 13:35:00-04:00,153.31,153.325,153.2908,153.325,153.325,3898,0.0,0.0,JNJ
2025-06-05 13:36:00-04:00,153.325,153.4,153.325,153.38,153.38,17176,0.0,0.0,JNJ
2025-06-05 13:37:00-04:00,153.39,153.4,153.37,153.395,153.395,7848,0.0,0.0,JNJ
2025-06-05 13:38:00-04:00,153.38,153.39,153.32,153.33,153.33,11289,0.0,0.0,JNJ
2025-06-05 13:39:00-04:00,153.32,153.365,153.32,153.34,153.34,10234,0.0,0.0,JNJ
2025-06-05 13:40:00-04:00,153.32,153.42,153.31,153.42,153.42,28719,0.0,0.0,JNJ
2025-06-05 13:41:00-04:00,153.405,153.405,153.33,153.4,153.4,15547,0.0,0.0,JNJ
