datetime,open,high,low,close,adj_close,volume,dividends,stock_splits,symbol
2025-06-05 09:30:00-04:00,113.73,113.73,113.51,113.595,113.595,139219,0.0,0.0,DIS
2025-06-05 09:31:00-04:00,113.595,113.66,113.5,113.515,113.515,9731,0.0,0.0,DIS
2025-06-05 09:34:00-04:00,113.52,113.62,113.52,113.585,113.585,31200,0.0,0.0,DIS
2025-06-05 09:35:00-04:00,113.585,113.6,113.525,113.58,113.58,9571,0.0,0.0,DIS
2025-06-05 09:36:00-04:00,113.56,113.64,113.54,113.64,113.64,10978,0.0,0.0,DIS
2025-06-05 09:37:00-04:00,113.615,113.68,113.535,113.535,113.535,9326,0.0,0.0,DIS
2025-06-05 09:38:00-04:00,113.56,113.565,113.46,113.5005,113.5005,12334,0.0,0.0,DIS
2025-06-05 09:39:00-04:00,113.51,113.52,113.32,113.3301,113.3301,21572,0.0,0.0,DIS
2025-06-05 09:40:00-04:00,113.37,113.5,113.35,113.5,113.5,9757,0.0,0.0,DIS
2025-06-05 09:41:00-04:00,113.5344,113.58,113.48,113.58,113.58,13381,0.0,0.0,DIS
2025-06-05 09:42:00-04:00,113.5544,113.655,113.53,113.61,113.61,7438,0.0,0.0,DIS
2025-06-05 09:43:00-04:00,113.6052,113.6052,113.48,113.48,113.48,12014,0.0,0.0,DIS
2025-06-05 09:44:00-04:00,113.48,113.59,113.48,113.59,113.59,13657,0.0,0.0,DIS
2025-06-05 09:45:00-04:00,113.545,113.61,113.46,113.465,113.465,12622,0.0,0.0,DIS
2025-06-05 09:46:00-04:00,113.465,113.48,113.38,113.465,113.465,9655,0.0,0.0,DIS
2025-06-05 09:47:00-04:00,113.465,113.52,113.43,113.4982,113.4982,10304,0.0,0.0,DIS
2025-06-05 09:48:00-04:00,113.52,113.61,113.48,113.61,113.61,12833,0.0,0.0,DIS
2025-06-05 09:49:00-04:00,113.6006,113.655,113.59,113.655,113.655,5283,0.0,0.0,DIS
2025-06-05 09:50:00-04:00,113.65,113.7,113.595,113.595,113.595,7779,0.0,0.0,DIS
2025-06-05 09:51:00-04:00,113.595,113.595,113.5,113.5,113.5,2574,0.0,0.0,DIS
2025-06-05 09:52:00-04:00,113.48,113.54,113.45,113.54,113.54,8424,0.0,0.0,DIS
2025-06-05 09:53:00-04:00,113.525,113.67,113.525,113.66,113.66,17798,0.0,0.0,DIS
2025-06-05 09:54:00-04:00,113.67,113.71,113.62,113.7,113.7,19953,0.0,0.0,DIS
2025-06-05 09:55:00-04:00,113.705,113.74,113.64,113.6899,113.6899,17881,0.0,0.0,DIS
2025-06-05 09:56:00-04:00,113.67,113.67,113.58,113.65,113.65,15833,0.0,0.0,DIS
2025-06-05 09:57:00-04:00,113.65,113.6552,113.515,113.515,113.515,23910,0.0,0.0,DIS
2025-06-05 09:58:00-04:00,113.53,113.63,113.53,113.6276,113.6276,7424,0.0,0.0,DIS
2025-06-05 09:59:00-04:00,113.605,113.66,113.58,113.6,113.6,6975,0.0,0.0,DIS
2025-06-05 10:00:00-04:00,113.61,113.77,113.61,113.77,113.77,24631,0.0,0.0,DIS
2025-06-05 10:01:00-04:00,113.77,113.83,113.74,113.825,113.825,14131,0.0,0.0,DIS
2025-06-05 10:02:00-04:00,113.83,113.83,113.76,113.79,113.79,6270,0.0,0.0,DIS
2025-06-05 10:03:00-04:00,113.81,113.855,113.7658,113.855,113.855,18614,0.0,0.0,DIS
2025-06-05 10:04:00-04:00,113.86,113.93,113.82,113.82,113.82,80112,0.0,0.0,DIS
2025-06-05 10:05:00-04:00,113.82,113.9,113.82,113.845,113.845,25931,0.0,0.0,DIS
2025-06-05 10:06:00-04:00,113.82,113.82,113.765,113.79,113.79,10296,0.0,0.0,DIS
2025-06-05 10:07:00-04:00,113.7637,113.7637,113.6601,113.68,113.68,11168,0.0,0.0,DIS
2025-06-05 10:08:00-04:00,113.66,113.685,113.6452,113.665,113.665,4634,0.0,0.0,DIS
2025-06-05 10:09:00-04:00,113.68,113.685,113.57,113.57,113.57,5930,0.0,0.0,DIS
2025-06-05 10:10:00-04:00,113.575,113.6614,113.575,113.63,113.63,7205,0.0,0.0,DIS
2025-06-05 10:11:00-04:00,113.635,113.73,113.6247,113.715,113.715,5540,0.0,0.0,DIS
2025-06-05 10:12:00-04:00,113.716,113.716,113.6701,113.7,113.7,4778,0.0,0.0,DIS
2025-06-05 10:13:00-04:00,113.685,113.685,113.63,113.67,113.67,3899,0.0,0.0,DIS
2025-06-05 10:14:00-04:00,113.675,113.68,113.65,113.655,113.655,6371,0.0,0.0,DIS
2025-06-05 10:15:00-04:00,113.67,113.685,113.64,113.655,113.655,8968,0.0,0.0,DIS
2025-06-05 10:16:00-04:00,113.655,113.655,113.6,113.6,113.6,3386,0.0,0.0,DIS
2025-06-05 10:17:00-04:00,113.615,113.615,113.55,113.57,113.57,5161,0.0,0.0,DIS
2025-06-05 10:18:00-04:00,113.5692,113.575,113.54,113.55,113.55,6302,0.0,0.0,DIS
2025-06-05 10:19:00-04:00,113.56,113.6,113.56,113.575,113.575,7055,0.0,0.0,DIS
2025-06-05 10:20:00-04:00,113.58,113.64,113.58,113.61,113.61,4079,0.0,0.0,DIS
2025-06-05 10:21:00-04:00,113.61,113.75,113.605,113.74,113.74,12619,0.0,0.0,DIS
2025-06-05 10:22:00-04:00,113.73,113.81,113.73,113.775,113.775,7857,0.0,0.0,DIS
2025-06-05 10:23:00-04:00,113.81,113.92,113.81,113.875,113.875,24952,0.0,0.0,DIS
2025-06-05 10:24:00-04:00,113.875,113.9,113.87,113.9,113.9,9124,0.0,0.0,DIS
2025-06-05 10:25:00-04:00,113.9,113.945,113.89,113.9046,113.9046,16866,0.0,0.0,DIS
2025-06-05 10:26:00-04:00,113.8864,113.9185,113.82,113.85,113.85,37575,0.0,0.0,DIS
2025-06-05 10:27:00-04:00,113.87,113.885,113.8,113.8,113.8,7925,0.0,0.0,DIS
2025-06-05 10:28:00-04:00,113.8,113.875,113.8,113.8348,113.8348,6438,0.0,0.0,DIS
2025-06-05 10:29:00-04:00,113.83,113.86,113.81,113.845,113.845,5294,0.0,0.0,DIS
2025-06-05 10:30:00-04:00,113.845,113.87,113.8224,113.86,113.86,6020,0.0,0.0,DIS
2025-06-05 10:31:00-04:00,113.85,113.86,113.78,113.81,113.81,7629,0.0,0.0,DIS
2025-06-05 10:32:00-04:00,113.8,113.85,113.74,113.76,113.76,17812,0.0,0.0,DIS
2025-06-05 10:33:00-04:00,113.77,113.8,113.76,113.79,113.79,4736,0.0,0.0,DIS
2025-06-05 10:34:00-04:00,113.8,113.815,113.74,113.76,113.76,7855,0.0,0.0,DIS
2025-06-05 10:35:00-04:00,113.76,113.79,113.6,113.685,113.685,23197,0.0,0.0,DIS
2025-06-05 10:36:00-04:00,113.685,113.785,113.64,113.765,113.765,14858,0.0,0.0,DIS
2025-06-05 10:37:00-04:00,113.79,113.91,113.716,113.885,113.885,38101,0.0,0.0,DIS
2025-06-05 10:38:00-04:00,113.885,114.0,113.86,113.935,113.935,88857,0.0,0.0,DIS
2025-06-05 10:39:00-04:00,113.955,114.0,113.85,113.885,113.885,70685,0.0,0.0,DIS
2025-06-05 10:40:00-04:00,113.925,113.93,113.81,113.905,113.905,26966,0.0,0.0,DIS
2025-06-05 10:41:00-04:00,113.905,114.21,113.89,114.165,114.165,112472,0.0,0.0,DIS
2025-06-05 10:42:00-04:00,114.2,114.3375,114.16,114.2,114.2,64056,0.0,0.0,DIS
2025-06-05 10:43:00-04:00,114.2,114.22,114.115,114.16,114.16,10607,0.0,0.0,DIS
2025-06-05 10:44:00-04:00,114.195,114.24,114.12,114.205,114.205,27582,0.0,0.0,DIS
2025-06-05 10:45:00-04:00,114.2,114.2,114.12,114.14,114.14,5871,0.0,0.0,DIS
2025-06-05 10:46:00-04:00,114.14,114.31,114.14,114.22,114.22,78452,0.0,0.0,DIS
2025-06-05 10:47:00-04:00,114.23,114.29,114.21,114.275,114.275,35566,0.0,0.0,DIS
2025-06-05 10:48:00-04:00,114.285,114.29,114.22,114.23,114.23,61039,0.0,0.0,DIS
2025-06-05 10:49:00-04:00,114.25,114.27,114.16,114.17,114.17,137762,0.0,0.0,DIS
2025-06-05 10:50:00-04:00,114.19,114.265,114.18,114.22,114.22,13057,0.0,0.0,DIS
2025-06-05 10:51:00-04:00,114.23,114.235,114.2,114.23,114.23,13403,0.0,0.0,DIS
2025-06-05 10:52:00-04:00,114.23,114.23,114.0824,114.21,114.21,28860,0.0,0.0,DIS
2025-06-05 10:53:00-04:00,114.205,114.3,114.1901,114.205,114.205,11506,0.0,0.0,DIS
2025-06-05 10:54:00-04:00,114.21,114.315,114.19,114.26,114.26,181177,0.0,0.0,DIS
