datetime,open,high,low,close,adj_close,volume,dividends,stock_splits,symbol
2025-06-05 09:30:00-04:00,44.45,44.45,44.35,44.385,44.385,503511,0.0,0.0,BAC
2025-06-05 09:31:00-04:00,44.38,44.39,44.31,44.315,44.315,93705,0.0,0.0,BAC
2025-06-05 09:34:00-04:00,44.195,44.26,44.195,44.235,44.235,464742,0.0,0.0,BAC
2025-06-05 09:35:00-04:00,44.238,44.25,44.205,44.235,44.235,104421,0.0,0.0,BAC
2025-06-05 09:36:00-04:00,44.23,44.25,44.215,44.23,44.23,45138,0.0,0.0,BAC
2025-06-05 09:37:00-04:00,44.23,44.275,44.2,44.205,44.205,71128,0.0,0.0,BAC
2025-06-05 09:38:00-04:00,44.205,44.245,44.2,44.225,44.225,43833,0.0,0.0,BAC
2025-06-05 09:39:00-04:00,44.225,44.2399,44.18,44.215,44.215,126835,0.0,0.0,BAC
2025-06-05 09:40:00-04:00,44.2157,44.22,44.155,44.22,44.22,149225,0.0,0.0,BAC
2025-06-05 09:41:00-04:00,44.2259,44.235,44.15,44.165,44.165,86566,0.0,0.0,BAC
2025-06-05 09:42:00-04:00,44.165,44.17,44.13,44.13,44.13,96876,0.0,0.0,BAC
2025-06-05 09:43:00-04:00,44.135,44.14,44.1,44.115,44.115,130566,0.0,0.0,BAC
2025-06-05 09:44:00-04:00,44.12,44.19,44.12,44.185,44.185,79758,0.0,0.0,BAC
2025-06-05 09:45:00-04:00,44.185,44.205,44.14,44.14,44.14,170637,0.0,0.0,BAC
2025-06-05 09:46:00-04:00,44.14,44.14,44.08,44.1091,44.1091,110646,0.0,0.0,BAC
2025-06-05 09:47:00-04:00,44.1,44.17,44.085,44.1519,44.1519,86285,0.0,0.0,BAC
2025-06-05 09:48:00-04:00,44.155,44.195,44.15,44.19,44.19,62271,0.0,0.0,BAC
2025-06-05 09:49:00-04:00,44.195,44.24,44.185,44.24,44.24,85614,0.0,0.0,BAC
2025-06-05 09:50:00-04:00,44.235,44.285,44.235,44.245,44.245,208251,0.0,0.0,BAC
2025-06-05 09:51:00-04:00,44.245,44.245,44.165,44.165,44.165,91583,0.0,0.0,BAC
2025-06-05 09:52:00-04:00,44.165,44.2,44.15,44.165,44.165,50126,0.0,0.0,BAC
2025-06-05 09:53:00-04:00,44.16,44.2,44.155,44.17,44.17,67400,0.0,0.0,BAC
2025-06-05 09:54:00-04:00,44.17,44.17,44.11,44.115,44.115,53131,0.0,0.0,BAC
2025-06-05 09:55:00-04:00,44.115,44.125,44.09,44.0924,44.0924,41327,0.0,0.0,BAC
2025-06-05 09:56:00-04:00,44.095,44.105,44.075,44.095,44.095,42145,0.0,0.0,BAC
2025-06-05 09:57:00-04:00,44.095,44.095,44.01,44.015,44.015,73747,0.0,0.0,BAC
2025-06-05 09:58:00-04:00,44.015,44.05,44.015,44.03,44.03,42465,0.0,0.0,BAC
2025-06-05 09:59:00-04:00,44.03,44.035,44.01,44.035,44.035,100319,0.0,0.0,BAC
2025-06-05 10:00:00-04:00,44.035,44.12,44.03,44.105,44.105,106272,0.0,0.0,BAC
2025-06-05 10:01:00-04:00,44.1035,44.17,44.0901,44.17,44.17,67650,0.0,0.0,BAC
2025-06-05 10:02:00-04:00,44.16,44.17,44.13,44.15,44.15,69532,0.0,0.0,BAC
2025-06-05 10:03:00-04:00,44.14,44.165,44.135,44.1465,44.1465,26466,0.0,0.0,BAC
2025-06-05 10:04:00-04:00,44.145,44.18,44.145,44.165,44.165,75432,0.0,0.0,BAC
2025-06-05 10:05:00-04:00,44.165,44.2,44.15,44.195,44.195,146269,0.0,0.0,BAC
2025-06-05 10:06:00-04:00,44.2,44.22,44.195,44.2071,44.2071,84591,0.0,0.0,BAC
2025-06-05 10:07:00-04:00,44.2,44.21,44.175,44.195,44.195,63101,0.0,0.0,BAC
2025-06-05 10:08:00-04:00,44.19,44.2,44.161,44.165,44.165,85191,0.0,0.0,BAC
2025-06-05 10:09:00-04:00,44.17,44.2067,44.135,44.14,44.14,45232,0.0,0.0,BAC
2025-06-05 10:10:00-04:00,44.15,44.1999,44.15,44.195,44.195,53359,0.0,0.0,BAC
2025-06-05 10:11:00-04:00,44.195,44.23,44.19,44.21,44.21,54591,0.0,0.0,BAC
2025-06-05 10:12:00-04:00,44.215,44.24,44.2126,44.235,44.235,26912,0.0,0.0,BAC
2025-06-05 10:13:00-04:00,44.235,44.24,44.22,44.2201,44.2201,30294,0.0,0.0,BAC
2025-06-05 10:14:00-04:00,44.22,44.235,44.2,44.2,44.2,37197,0.0,0.0,BAC
2025-06-05 10:15:00-04:00,44.21,44.26,44.21,44.24,44.24,57489,0.0,0.0,BAC
2025-06-05 10:16:00-04:00,44.245,44.27,44.24,44.26,44.26,17952,0.0,0.0,BAC
2025-06-05 10:17:00-04:00,44.2534,44.255,44.24,44.25,44.25,22780,0.0,0.0,BAC
2025-06-05 10:18:00-04:00,44.24,44.25,44.23,44.24,44.24,79999,0.0,0.0,BAC
2025-06-05 10:19:00-04:00,44.2401,44.25,44.235,44.245,44.245,19589,0.0,0.0,BAC
2025-06-05 10:20:00-04:00,44.25,44.29,44.25,44.265,44.265,56126,0.0,0.0,BAC
2025-06-05 10:21:00-04:00,44.26,44.31,44.25,44.305,44.305,40261,0.0,0.0,BAC
2025-06-05 10:22:00-04:00,44.31,44.34,44.31,44.34,44.34,90536,0.0,0.0,BAC
2025-06-05 10:23:00-04:00,44.34,44.38,44.34,44.3534,44.3534,111273,0.0,0.0,BAC
2025-06-05 10:24:00-04:00,44.355,44.37,44.355,44.36,44.36,81041,0.0,0.0,BAC
2025-06-05 10:25:00-04:00,44.36,44.375,44.305,44.305,44.305,71476,0.0,0.0,BAC
2025-06-05 10:26:00-04:00,44.31,44.318,44.295,44.295,44.295,27377,0.0,0.0,BAC
2025-06-05 10:27:00-04:00,44.29,44.32,44.29,44.29,44.29,65381,0.0,0.0,BAC
2025-06-05 10:28:00-04:00,44.295,44.3099,44.2901,44.2999,44.2999,26540,0.0,0.0,BAC
2025-06-05 10:29:00-04:00,44.29,44.32,44.29,44.315,44.315,41066,0.0,0.0,BAC
2025-06-05 10:30:00-04:00,44.315,44.3499,44.315,44.3342,44.3342,43533,0.0,0.0,BAC
2025-06-05 10:31:00-04:00,44.34,44.37,44.32,44.35,44.35,92899,0.0,0.0,BAC
2025-06-05 10:32:00-04:00,44.35,44.355,44.305,44.325,44.325,55952,0.0,0.0,BAC
2025-06-05 10:33:00-04:00,44.32,44.33,44.3,44.315,44.315,69672,0.0,0.0,BAC
2025-06-05 10:34:00-04:00,44.31,44.32,44.305,44.31,44.31,73669,0.0,0.0,BAC
2025-06-05 10:35:00-04:00,44.3,44.32,44.23,44.27,44.27,247196,0.0,0.0,BAC
2025-06-05 10:36:00-04:00,44.26,44.295,44.25,44.2801,44.2801,157990,0.0,0.0,BAC
2025-06-05 10:37:00-04:00,44.285,44.39,44.26,44.385,44.385,348203,0.0,0.0,BAC
2025-06-05 10:38:00-04:00,44.39,44.43,44.36,44.385,44.385,151771,0.0,0.0,BAC
2025-06-05 10:39:00-04:00,44.39,44.42,44.38,44.39,44.39,120314,0.0,0.0,BAC
2025-06-05 10:40:00-04:00,44.4,44.4,44.33,44.37,44.37,77159,0.0,0.0,BAC
2025-06-05 10:41:00-04:00,44.37,44.51,44.365,44.49,44.49,230803,0.0,0.0,BAC
2025-06-05 10:42:00-04:00,44.485,44.525,44.44,44.45,44.45,191473,0.0,0.0,BAC
2025-06-05 10:43:00-04:00,44.455,44.46,44.43,44.445,44.445,109305,0.0,0.0,BAC
2025-06-05 10:44:00-04:00,44.45,44.45,44.4,44.44,44.44,111948,0.0,0.0,BAC
2025-06-05 10:45:00-04:00,44.45,44.45,44.42,44.445,44.445,75728,0.0,0.0,BAC
2025-06-05 10:46:00-04:00,44.445,44.54,44.445,44.49,44.49,238548,0.0,0.0,BAC
2025-06-05 10:47:00-04:00,44.495,44.52,44.48,44.49,44.49,80518,0.0,0.0,BAC
2025-06-05 10:48:00-04:00,44.5,44.515,44.45,44.45,44.45,118307,0.0,0.0,BAC
2025-06-05 10:49:00-04:00,44.45,44.46,44.4201,44.435,44.435,84850,0.0,0.0,BAC
2025-06-05 10:50:00-04:00,44.435,44.44,44.4,44.415,44.415,118680,0.0,0.0,BAC
2025-06-05 10:51:00-04:00,44.42,44.42,44.39,44.3901,44.3901,77280,0.0,0.0,BAC
2025-06-05 10:52:00-04:00,44.395,44.395,44.34,44.3701,44.3701,66931,0.0,0.0,BAC
2025-06-05 10:53:00-04:00,44.37,44.39,44.37,44.37,44.37,42805,0.0,0.0,BAC
2025-06-05 10:54:00-04:00,44.375,44.39,44.37,44.385,44.385,39275,0.0,0.0,BAC
2025-06-05 10:55:00-04:00,44.39,44.39,44.365,44.375,44.375,68292,0.0,0.0,BAC
2025-06-05 10:56:00-04:00,44.375,44.39,44.36,44.385,44.385,41930,0.0,0.0,BAC
2025-06-05 10:57:00-04:00,44.39,44.42,44.39,44.42,44.42,44835,0.0,0.0,BAC
2025-06-05 10:58:00-04:00,44.415,44.43,44.41,44.425,44.425,29902,0.0,0.0,BAC
2025-06-05 10:59:00-04:00,44.425,44.44,44.41,44.415,44.415,89765,0.0,0.0,BAC
2025-06-05 11:00:00-04:00,44.415,44.43,44.41,44.415,44.415,52372,0.0,0.0,BAC
2025-06-05 11:01:00-04:00,44.415,44.44,44.41,44.435,44.435,44440,0.0,0.0,BAC
2025-06-05 11:02:00-04:00,44.44,44.44,44.42,44.44,44.44,42163,0.0,0.0,BAC
2025-06-05 11:03:00-04:00,44.44,44.45,44.4201,44.4401,44.4401,61065,0.0,0.0,BAC
2025-06-05 11:04:00-04:00,44.445,44.5,44.445,44.49,44.49,244969,0.0,0.0,BAC
2025-06-05 11:05:00-04:00,44.485,44.485,44.46,44.465,44.465,66594,0.0,0.0,BAC
2025-06-05 11:06:00-04:00,44.465,44.475,44.44,44.47,44.47,77427,0.0,0.0,BAC
2025-06-05 11:07:00-04:00,44.47,44.48,44.45,44.465,44.465,51374,0.0,0.0,BAC
2025-06-05 11:08:00-04:00,44.465,44.465,44.44,44.4528,44.4528,39726,0.0,0.0,BAC
2025-06-05 11:09:00-04:00,44.4599,44.48,44.45,44.475,44.475,69401,0.0,0.0,BAC
2025-06-05 11:10:00-04:00,44.4732,44.48,44.4524,44.46,44.46,55206,0.0,0.0,BAC
2025-06-05 11:11:00-04:00,44.455,44.475,44.45,44.47,44.47,42333,0.0,0.0,BAC
2025-06-05 11:12:00-04:00,44.465,44.49,44.46,44.475,44.475,36748,0.0,0.0,BAC
2025-06-05 11:13:00-04:00,44.475,44.48,44.4619,44.465,44.465,51767,0.0,0.0,BAC
2025-06-05 11:14:00-04:00,44.465,44.4666,44.45,44.4527,44.4527,23511,0.0,0.0,BAC
2025-06-05 11:15:00-04:00,44.46,44.47,44.46,44.46,44.46,62354,0.0,0.0,BAC
2025-06-05 11:16:00-04:00,44.46,44.48,44.46,44.47,44.47,42803,0.0,0.0,BAC
2025-06-05 11:17:00-04:00,44.475,44.49,44.47,44.4801,44.4801,67123,0.0,0.0,BAC
2025-06-05 11:18:00-04:00,44.49,44.51,44.48,44.495,44.495,193726,0.0,0.0,BAC
2025-06-05 11:19:00-04:00,44.495,44.51,44.49,44.495,44.495,67305,0.0,0.0,BAC
2025-06-05 11:20:00-04:00,44.49,44.495,44.47,44.48,44.48,77701,0.0,0.0,BAC
2025-06-05 11:21:00-04:00,44.4801,44.5,44.47,44.4799,44.4799,68892,0.0,0.0,BAC
